n,max_steps,field_width,field_height,field_depth,r_o,r_a,group_dir,group_rho
20.0,4000.0,24.0,12.0,16.0,7.0,7.0,0.9915750642096336,0.053132053995408005
20.0,4000.0,24.0,12.0,16.0,11.0,3.0,0.5008734955075912,0.2611371399778826
20.0,4000.0,24.0,12.0,16.0,3.0,11.0,0.4753028074534438,0.6463457458698367
20.0,4000.0,24.0,12.0,16.0,0.0,5.0,0.24117588522596362,0.3715038299237009
20.0,4000.0,24.0,12.0,16.0,14.0,9.0,0.9261486701779111,0.044765490628961555
20.0,4000.0,24.0,12.0,16.0,10.0,0.0,0.6548544387367679,0.13165461863294348
20.0,4000.0,24.0,12.0,16.0,4.0,14.0,0.7557087359942849,0.31282822875428934
20.0,4000.0,24.0,12.0,16.0,1.0,6.0,0.23535246862841985,0.06649106140137152
20.0,4000.0,24.0,12.0,16.0,13.0,8.0,0.9907276032927026,0.04814238732873452
20.0,4000.0,24.0,12.0,16.0,12.0,13.0,0.8306652603416671,0.2606962908615238
20.0,4000.0,24.0,12.0,16.0,2.0,1.0,0.30816771109009017,0.26347083434447266
20.0,4000.0,24.0,12.0,16.0,6.0,2.0,0.840613002922096,0.11298815934331656
20.0,4000.0,24.0,12.0,16.0,8.0,12.0,0.8151677981543506,0.3262517558609257
20.0,4000.0,24.0,12.0,16.0,9.0,10.0,0.926968121737359,0.15639837455870223
20.0,4000.0,24.0,12.0,16.0,5.0,4.0,0.8707373282766456,0.1930593174159057
